,TSS,end_x,start_x,gene,strand_x,end_y,start_y,strand_y,strand,ratio_ATCACG,ratio_ACAGTG,ratio_CGATGT,ratio_GCCAAT
384,475245,475379,475245,ybaY,+,475951.0,475379.0,+,+,0.32,0.20192307692307693,0.8,1.8178571428571428
385,476288,476424,476288,ffs,+,476561.0,476448.0,+,+,0.46875,0.6567164179104478,0.38341158059467917,0.42698019801980197
386,476399,476424,476399,ffs,+,476561.0,476448.0,+,+,9391.6,5151.0,205.62041884816753,62.72648835202761
387,476422,476424,476422,ffs,+,476561.0,476448.0,+,+,9536.45,4389.72972972973,209.22062663185378,61.25311203319502
388,479288,479288,479251,ylaC,-,479251.0,478781.0,-,-,1.1242937853107344,1.0691927512355848,0.711854103343465,1.3091787439613527
389,480503,480503,480308,hha,-,480308.0,480090.0,-,-,0.5054945054945055,0.423963133640553,0.6623544631306598,0.5524889107934944
390,480794,480794,480708,tomB,-,480708.0,480334.0,-,-,0.5165289256198347,0.6624203821656051,1.803163444639719,1.5579655946148092
391,484685,484685,484403,acrB,-,484403.0,481254.0,-,-,0.8212689901697945,0.2943952802359882,0.5914179104477612,0.6763285024154589
392,485698,485698,485619,acrA,-,485619.0,484426.0,-,-,1.0053691275167784,1.703150912106136,0.855595667870036,1.232394366197183
393,485699,485761,485699,acrR,+,486408.0,485761.0,+,+,3.2662337662337664,5.398550724637682,2.08974358974359,2.5811965811965814
394,486492,486536,486492,mscK,+,489898.0,486536.0,+,+,0.9554317548746518,3.5364431486880465,0.8854166666666666,1.1596638655462186
395,490324,490324,490271,ybaM,-,490271.0,490110.0,-,-,0.4098360655737705,0.321353065539112,1.0816326530612246,1.1304347826086956
396,490718,490882,490718,ybaN,+,491259.0,490882.0,+,+,0.8617886178861789,0.748792270531401,0.6484018264840182,0.815028901734104
397,490857,490882,490857,ybaN,+,491259.0,490882.0,+,+,1.778688524590164,1.7584745762711864,1.6071428571428572,1.2091503267973855
398,490873,490882,490873,ybaN,+,491259.0,490882.0,+,+,1.7983870967741935,1.9515418502202644,1.7906976744186047,1.2777777777777777
399,490879,490882,490879,ybaN,+,491259.0,490882.0,+,+,1.9166666666666667,2.054054054054054,1.9761904761904763,1.3875
400,491310,491412,491310,apt,+,491963.0,491412.0,+,+,1.2028935583878746,1.4095087163232964,0.8527508090614887,1.5614583333333334
401,492056,492092,492056,dnaX,+,494023.0,492092.0,+,+,2.506108202443281,2.700348432055749,2.4118852459016393,2.2972972972972974
402,493709,494076,493709,ybaB,+,494405.0,494076.0,+,+,0.13443526170798897,0.09636934110264456,0.1623931623931624,0.16288659793814433
403,494817,495120,494817,htpG,+,496994.0,495120.0,+,+,1.6392156862745098,0.7962781586679726,0.9034311012728279,0.5284996724175585
404,495075,495120,495075,htpG,+,496994.0,495120.0,+,+,0.7134969325153374,0.5833113282281489,0.47844977407021205,0.6095045128016209
405,495084,495120,495084,htpG,+,496994.0,495120.0,+,+,0.734857849196539,0.6222461042450296,0.49822695035460995,0.6488963711185933
406,497139,497175,497139,adk,+,497819.0,497175.0,+,+,0.5139540627315387,0.6847826086956522,0.5456545654565457,0.6472937000887311
407,498031,498055,498031,hemH,+,499017.0,498055.0,+,+,0.4847161572052402,0.6578947368421053,0.7928802588996764,1.153617443012884
408,500051,500051,499973,aes,-,499973.0,499014.0,-,-,1.2307692307692308,1.8,1.1183035714285714,2.1135902636916835
409,503295,503295,503238,ybaL,-,503238.0,501562.0,-,-,1.8928571428571428,1.06,0.5255905511811023,0.5273972602739726
410,504767,504767,504696,fsr,-,504696.0,503476.0,-,-,1.368421052631579,1.0533333333333332,0.4976958525345622,0.8692579505300353
411,504847,504847,504696,fsr,-,504696.0,503476.0,-,-,0.1111111111111111,0.0718954248366013,0.33195020746887965,0.7584745762711864
412,504852,504852,504696,fsr,-,504696.0,503476.0,-,-,0.10256410256410256,0.07142857142857142,0.3333333333333333,0.7800829875518672
413,504855,504855,504696,fsr,-,504696.0,503476.0,-,-,0.1,0.07142857142857142,0.32926829268292684,0.7782426778242678
414,504886,504914,504886,ushA,+,506566.0,504914.0,+,+,1.04,1.542857142857143,0.573170731707317,0.9473684210526315
416,508174,508218,508174,ybaQ,+,508559.0,508218.0,+,+,0.9912663755458515,1.12,0.4965986394557823,0.78239608801956
417,508191,508218,508191,ybaQ,+,508559.0,508218.0,+,+,1.0564516129032258,1.0201612903225807,0.49544072948328266,0.759090909090909
418,508262,508262,508080,ybaP,-,508080.0,507286.0,-,-,1.1285714285714286,0.9033457249070632,0.35348837209302325,0.7136563876651982
419,508264,508264,508080,ybaP,-,508080.0,507286.0,-,-,1.1730769230769231,0.929368029739777,0.36556603773584906,0.7212389380530974
420,508284,508284,508080,ybaP,-,508080.0,507286.0,-,-,1.50253807106599,0.9456521739130435,0.38850574712643676,0.8127853881278538
421,511411,511411,511379,copA,-,511379.0,508875.0,-,-,1.018181818181818,0.6172248803827751,1.0414201183431953,1.34
423,513974,513993,513974,cueR,+,514400.0,513993.0,+,+,1.1867469879518073,0.6431226765799256,0.6263736263736264,0.8728323699421965
424,515077,515077,514859,ybbJ,-,514859.0,514401.0,-,-,0.8709677419354839,0.9259259259259259,1.1306306306306306,0.8205980066445183
425,515823,515823,515773,qmcA,-,515773.0,514856.0,-,-,1.8088235294117647,2.1808510638297873,0.9461883408071748,1.2857142857142858
426,515892,515919,515892,ybbL,+,516596.0,515919.0,+,+,0.24550898203592814,0.17972350230414746,0.6268115942028986,0.9852941176470589
427,515903,515919,515903,ybbL,+,516596.0,515919.0,+,+,0.28846153846153844,0.19815668202764977,0.6204379562043796,1.0
428,518490,518490,518279,ybbN,-,518279.0,517425.0,-,-,0.27526132404181186,0.15003927729772193,0.21288837744533948,0.17411052233156699
429,518568,518568,518279,ybbN,-,518279.0,517425.0,-,-,0.5353075170842825,0.35108958837772397,0.542649727767695,0.3323442136498516
430,519329,519329,519149,ybbO,-,519149.0,518340.0,-,-,1.0721649484536082,2.4285714285714284,1.1461187214611872,0.9103448275862069
431,519949,519949,519765,tesA,-,519765.0,519139.0,-,-,0.25555555555555554,0.12080536912751678,0.9512195121951219,0.8396946564885496
432,523066,523261,523066,rhsD,+,527541.0,523261.0,+,+,0.14285714285714285,0.13333333333333333,0.09523809523809523,0.4097222222222222
435,532300,532300,532221,allS,-,532221.0,531295.0,-,-,0.25,1.5,0.547945205479452,0.8734177215189873
436,532390,532451,532390,allA,+,532933.0,532451.0,+,+,0.35135135135135137,0.14516129032258066,0.3787878787878788,1.4776119402985075
437,533907,533916,533907,gcl,+,535697.0,533916.0,+,+,0.6666666666666666,0.6,1.6153846153846154,0.9523809523809523
438,540359,540565,540359,ybbY,+,541866.0,540565.0,+,+,3.5,1.6666666666666667,1.8709677419354838,1.9019607843137254
440,546411,546411,546363,allD,-,546363.0,545314.0,-,-,1.0,0.375,0.925,1.611764705882353
441,546506,546680,546506,fdrA,+,548347.0,546680.0,+,+,0.3333333333333333,1.0,0.9333333333333333,0.9344262295081968
442,553142,553142,553100,purE,-,553100.0,552591.0,-,-,2.550387596899225,3.2616822429906542,2.4280575539568345,2.869565217391304
443,554577,554611,554577,cysS,+,555996.0,554611.0,+,+,0.5105263157894737,1.3276797829036635,0.3680297397769517,0.8444084278768234
444,556632,556632,556553,ybcI,-,556553.0,556032.0,-,-,17.608695652173914,27.484848484848484,5.091304347826087,2.9884615384615385
445,556891,556891,556873,ybcJ,-,556873.0,556661.0,-,-,13.164383561643836,7.631578947368421,0.5131729667812142,0.759375
446,556967,556967,556873,ybcJ,-,556873.0,556661.0,-,-,1.6942307692307692,0.5743879472693032,0.3680327868852459,0.6445623342175066
447,557006,557006,556873,ybcJ,-,556873.0,556661.0,-,-,1.2377622377622377,0.4798657718120805,0.4204946996466431,0.7762128325508607
448,557025,557025,556873,ybcJ,-,556873.0,556661.0,-,-,1.1387054161162484,0.43471074380165287,0.487,0.9001814882032668
449,557781,557781,557741,folD,-,557741.0,556875.0,-,-,0.6521739130434783,0.7047817047817048,0.44893617021276594,0.9856115107913669
450,558062,558212,558062,sfmA,+,558754.0,558212.0,+,+,0.16666666666666666,0.6,0.2611111111111111,0.8
451,558166,558212,558166,sfmA,+,558754.0,558212.0,+,+,1.0,0.7142857142857143,0.6291390728476821,1.0989583333333333
452,558803,558974,558803,sfmC,+,559666.0,558974.0,+,+,1.5,3.25,2.896551724137931,2.128787878787879
453,558807,558974,558807,sfmC,+,559666.0,558974.0,+,+,1.5,2.6,2.7954545454545454,2.073529411764706
454,564607,564607,564480,fimZ,-,564480.0,563848.0,-,-,6.0,5.857142857142857,2.864864864864865,1.9090909090909092
455,564703,564723,564703,argU,+,564799.0,564723.0,+,+,2.7114093959731544,1.1428571428571428,0.3085043116265239,0.6545934276804989
456,566101,566101,565978,intD,-,565978.0,564815.0,-,-,0.39215686274509803,0.725,2.020525059665871,1.741890639481001
457,568751,568902,568751,ybcK,+,570428.0,568902.0,+,+,2.0,0.8125,0.3333333333333333,0.4091743119266055
458,568787,568902,568787,ybcK,+,570428.0,568902.0,+,+,0.6,0.8695652173913043,0.3829787234042553,0.4444444444444444
459,568810,568902,568810,ybcK,+,570428.0,568902.0,+,+,0.8333333333333334,0.9090909090909091,0.5288220551378446,0.47766323024054985
460,570845,570893,570845,ybcL,+,571444.0,570893.0,+,+,0.26666666666666666,0.40625,0.23723041997729852,0.5750708215297451
461,570847,570893,570847,ybcL,+,571444.0,570893.0,+,+,0.26666666666666666,0.40625,0.23917995444191345,0.5811965811965812
462,572314,572466,572314,ybcN,+,572921.0,572466.0,+,+,7.4,12.5,2.6097560975609757,2.0516795865633073
463,572319,572466,572319,ybcN,+,572921.0,572466.0,+,+,7.6,12.5,2.5658307210031346,2.0112640801001254
466,576870,576870,576825,nmpC,-,576825.0,575786.0,-,-,0.7732426303854876,0.5481569560047562,0.3294314381270903,0.8649262202043133
467,576870,576870,576825,nmpC,-,574586.0,574529.0,-,-,0.7732426303854876,0.5481569560047562,0.3294314381270903,0.8649262202043133
468,576873,577398,576873,essD,+,577613.0,577398.0,+,+,0.2857142857142857,0.2,0.6394557823129252,0.6714876033057852
469,578921,578921,578893,borD,-,578893.0,578600.0,-,-,0.5809943865276664,0.3729003359462486,0.4433249370277078,0.7387698686938493
470,579805,579880,579805,ybcW,+,580086.0,579880.0,+,+,1.25,0.7777777777777778,0.9848484848484849,1.3051359516616314
471,579844,579880,579844,ybcW,+,580086.0,579880.0,+,+,1.3125,0.75,0.7089552238805971,1.0705521472392638
472,583567,583681,583567,appY,+,584430.0,583681.0,+,+,0.2222222222222222,0.3404255319148936,0.25443786982248523,0.31951640759930916
473,583656,583681,583656,appY,+,584430.0,583681.0,+,+,0.6666666666666666,0.5789473684210527,0.4819277108433735,0.8568129330254042
474,585665,585665,585633,ompT,-,585633.0,584680.0,-,-,1.1927461139896374,2.0062836624775584,0.95897903372835,1.305668934240363
475,588070,588070,587981,ybcH,-,587981.0,587091.0,-,-,2.3125,1.25,1.2767857142857142,1.5389610389610389
476,595462,595462,595443,cusR,-,595443.0,594760.0,-,-,2.0454545454545454,3.42,0.4732824427480916,1.5867768595041323
477,595573,595600,595573,cusC,+,596973.0,595600.0,+,+,1.25,0.8888888888888888,0.38636363636363635,0.6521739130434783
478,601929,601959,601929,pheP,+,603335.0,601959.0,+,+,4.906474820143885,3.2583333333333333,2.016759776536313,1.9240506329113924
479,605453,605453,605424,nfsB,-,605424.0,604771.0,-,-,1.317103620474407,1.524330900243309,0.7914012738853503,1.3554502369668247
480,606053,606053,605886,ybdF,-,605886.0,605518.0,-,-,1.2727272727272727,3.3095238095238093,0.5389408099688473,0.5032397408207343
481,606223,606223,606199,ybdJ,-,606199.0,605951.0,-,-,1.92,1.768361581920904,0.6955307262569832,0.9746835443037974
482,606264,606264,606199,ybdJ,-,606199.0,605951.0,-,-,1.4021739130434783,1.3557692307692308,0.7159090909090909,0.985207100591716
483,606405,606405,606199,ybdJ,-,606199.0,605951.0,-,-,0.08536585365853659,0.0425531914893617,1.485207100591716,1.3624454148471616
484,606411,606411,606199,ybdJ,-,606199.0,605951.0,-,-,0.07692307692307693,0.04,1.5055555555555555,1.3224489795918368
485,607561,607561,607383,ybdK,-,607383.0,606265.0,-,-,1.6666666666666667,0.7,1.131578947368421,2.308550185873606
486,607731,607836,607731,hokE,+,607988.0,607836.0,+,+,0.05442176870748299,0.08478260869565217,0.5845481049562682,0.5731382978723404
488,610141,610141,610079,entD,-,610079.0,609459.0,-,-,1.25,1.5,1.2241379310344827,1.1153846153846154
489,610254,610254,610079,entD,-,610079.0,609459.0,-,-,4.0,7.333333333333333,2.0980392156862746,1.935483870967742
490,612667,612667,612494,fepA,-,612494.0,610254.0,-,-,0.3684210526315789,0.16279069767441862,0.6052631578947368,0.40789473684210525
491,612687,612815,612687,fes,+,613939.0,612815.0,+,+,0.2222222222222222,0.029411764705882353,0.16883116883116883,0.2534246575342466
492,622192,622192,622189,fepD,-,622189.0,621185.0,-,-,3.125,2.632183908045977,1.6226415094339623,2.1320754716981134
493,622234,622234,622189,fepD,-,622189.0,621185.0,-,-,1.2156862745098038,0.9807692307692307,0.8095238095238095,1.4109589041095891
494,622253,622300,622253,entS,+,623550.0,622300.0,+,+,1.2105263157894737,2.156862745098039,1.5909090909090908,0.8695652173913043
495,622258,622300,622258,entS,+,623550.0,622300.0,+,+,1.0731707317073171,2.0925925925925926,1.6666666666666667,0.9104477611940298
496,624727,624727,624510,fepB,-,624510.0,623554.0,-,-,1.0806451612903225,2.5555555555555554,1.537037037037037,1.035294117647059
497,624831,624885,624831,entC,+,626060.0,624885.0,+,+,0.3157894736842105,0.28350515463917525,0.3163265306122449,1.03125
498,629292,629300,629292,entH,+,629713.0,629300.0,+,+,2.5714285714285716,2.303030303030303,0.6726190476190477,0.7261904761904762
499,629855,629894,629855,cstA,+,631999.0,629894.0,+,+,3.92,4.053333333333334,0.6428571428571429,2.2035398230088497
500,629864,629894,629864,cstA,+,631999.0,629894.0,+,+,4.761904761904762,4.5,0.7625,2.327272727272727
501,629873,629894,629873,cstA,+,631999.0,629894.0,+,+,5.1,4.969230769230769,0.8170731707317073,2.4017857142857144
502,631991,632182,631991,ybdD,+,632379.0,632182.0,+,+,0.8899082568807339,1.5527638190954773,1.4690265486725664,1.2337278106508875
503,633517,633517,633477,ybdH,-,633477.0,632389.0,-,-,3.857142857142857,3.8125,0.7692307692307693,2.1503759398496243
504,633524,633524,633477,ybdH,-,633477.0,632389.0,-,-,3.7142857142857144,3.8125,0.7777777777777778,2.25
505,633557,633586,633557,ybdL,+,634746.0,633586.0,+,+,1.565217391304348,2.12,0.5675675675675675,1.236842105263158
506,635555,635555,635376,ybdM,-,635376.0,634747.0,-,-,0.14285714285714285,0.4166666666666667,0.5,1.1639344262295082
507,636686,636686,636569,ybdN,-,636569.0,635349.0,-,-,0.1,0.25,0.5643564356435643,0.8095238095238095
508,638693,638945,638693,ahpC,+,639508.0,638945.0,+,+,0.11491258141926637,0.11472948784571857,0.12887740029542097,0.12433105164903548
509,638800,638800,638573,dsbG,-,638573.0,637827.0,-,-,35.91228070175438,43.0,8.081818181818182,5.291479820627803
510,638921,638945,638921,ahpC,+,639508.0,638945.0,+,+,1.573223839741197,1.6939278512211517,0.9426190476190476,1.6664978475563434
511,639002,639753,639002,ahpF,+,641318.0,639753.0,+,+,2.546853856562923,2.671316219023594,2.1775280898876406,3.230227094753328
512,641903,641903,641867,uspG,-,641867.0,641439.0,-,-,0.6583333333333333,0.23018867924528302,0.5,0.51010101010101
513,641922,642088,641922,ybdR,+,643326.0,642088.0,+,+,1.0,1.4,0.75,0.43103448275862066
514,644055,644055,643967,rnk,-,643967.0,643557.0,-,-,1.6059479553903346,1.3987206823027718,0.9856459330143541,1.5714285714285714
515,644180,644180,643967,rnk,-,643967.0,643557.0,-,-,0.9285714285714286,1.0736842105263158,0.6059113300492611,0.7241379310344828
516,645034,645034,645003,rna,-,645003.0,644197.0,-,-,1.5141843971631206,2.536723163841808,1.0158730158730158,1.1878453038674033
517,646603,646603,646580,citT,-,646580.0,645117.0,-,-,0.6,0.42857142857142855,0.6507936507936508,0.9726027397260274
518,646632,646632,646580,citT,-,646580.0,645117.0,-,-,0.75,1.5,1.2857142857142858,1.1063829787234043
519,651952,651952,651856,citC,-,651856.0,650798.0,-,-,0.14285714285714285,0.3333333333333333,1.0392156862745099,0.9574468085106383
520,651984,652235,651984,dpiB,+,653893.0,652235.0,+,+,1.5,2.0,1.7692307692307692,1.3888888888888888
521,652039,652039,651856,citC,-,651856.0,650798.0,-,-,0.12,0.08571428571428572,0.3780487804878049,0.52
522,652172,652235,652172,dpiB,+,653893.0,652235.0,+,+,0.16666666666666666,0.5,0.3235294117647059,0.25688073394495414
523,656083,656083,655968,dcuC,-,655968.0,654583.0,-,-,0.07142857142857142,0.2,0.2459016393442623,0.6172839506172839
524,656526,656557,656526,pagP,+,657117.0,656557.0,+,+,0.6,0.7241379310344828,0.3163265306122449,1.0210526315789474
525,657147,657292,657147,cspE,+,657501.0,657292.0,+,+,0.0024972253052164264,0.0014395117176253815,0.008132624335314358,0.010425623387790198
526,657250,657292,657250,cspE,+,657501.0,657292.0,+,+,6.410987482614742,2.5398999782561424,1.6972010178117047,4.923413566739606
527,657998,657998,657938,crcB,-,657938.0,657555.0,-,-,0.2898550724637681,0.14987080103359174,0.39156626506024095,0.47474747474747475
528,658008,658008,657938,crcB,-,657938.0,657555.0,-,-,0.3274336283185841,0.16408668730650156,0.4421768707482993,0.5291005291005291
529,658871,658947,658871,tatE,+,659150.0,658947.0,+,+,0.058333333333333334,0.06917394224311618,0.07448275862068965,0.34581105169340465
530,660301,660301,660216,lipA,-,660216.0,659251.0,-,-,1.2920443101711985,0.9721362229102167,0.512396694214876,1.2646484375
531,661386,661386,661378,ybeF,-,661378.0,660425.0,-,-,0.17391304347826086,0.41935483870967744,0.09149484536082474,0.2722672064777328
532,661460,661460,661378,ybeF,-,661378.0,660425.0,-,-,0.34285714285714286,1.4,0.25,0.39895287958115183
533,661510,661510,661378,ybeF,-,661378.0,660425.0,-,-,0.425,1.2580645161290323,0.4146341463414634,0.46934865900383144
534,661545,661545,661378,ybeF,-,661378.0,660425.0,-,-,0.7142857142857143,1.8571428571428572,0.5420827389443652,0.6786885245901639
535,662399,662399,662278,lipB,-,662278.0,661637.0,-,-,1.3836633663366336,5.032388663967612,2.7216981132075473,2.7950963222416814
536,662401,662401,662278,lipB,-,662278.0,661637.0,-,-,1.4392059553349876,5.043824701195219,2.689138576779026,2.7435456110154903
537,662706,662706,662642,ybeD,-,662642.0,662379.0,-,-,1.9789983844911148,1.868663594470046,0.32842105263157895,0.46884833228445566
538,663967,663967,663963,dacA,-,663963.0,662752.0,-,-,1.41834451901566,1.8440808469682386,1.4922010398613519,1.5229202037351444
539,664001,664001,663963,dacA,-,663963.0,662752.0,-,-,1.3343589743589743,1.4650132860938885,1.4246575342465753,1.5819397993311037
540,665213,665213,665190,rlpA,-,665190.0,664102.0,-,-,0.598404255319149,0.3075335397316821,0.39198606271777003,0.7891156462585034
541,665222,665222,665190,rlpA,-,665190.0,664102.0,-,-,0.5792276964047937,0.3196099674972914,0.36428571428571427,0.7990654205607477
542,669072,669072,669036,rsfS,-,669036.0,668719.0,-,-,0.7983486821213084,1.204788588894549,0.6497838171710932,0.6857887874837028
543,669944,669944,669907,cobC,-,669907.0,669296.0,-,-,3.65625,5.351351351351352,1.88,2.0348837209302326
544,670046,670046,669907,cobC,-,669907.0,669296.0,-,-,2.5764705882352943,1.5724637681159421,1.3724137931034484,1.2672811059907834
545,674993,675018,674993,ybeL,+,675500.0,675018.0,+,+,0.48,0.4857142857142857,0.265625,0.609271523178808
546,676560,676711,676560,ybeR,+,677418.0,676711.0,+,+,5.0,0.625,0.44554455445544555,0.9942528735632183
547,676572,676572,676547,ybeQ,-,676547.0,675570.0,-,-,0.75,1.0,0.6526315789473685,1.25625
548,676590,676711,676590,ybeR,+,677418.0,676711.0,+,+,5.0,0.375,0.33962264150943394,1.0674846625766872
549,676611,676611,676547,ybeQ,-,676547.0,675570.0,-,-,0.6666666666666666,0.75,0.46236559139784944,1.0368098159509203
550,676624,676624,676547,ybeQ,-,676547.0,675570.0,-,-,0.6666666666666666,1.2,0.422680412371134,0.9265536723163842
551,676637,676711,676637,ybeR,+,677418.0,676711.0,+,+,5.0,0.2857142857142857,0.5233644859813084,1.0662983425414365
552,676639,676639,676547,ybeQ,-,676547.0,675570.0,-,-,1.0,0.7142857142857143,0.46875,0.8341463414634146
553,676700,676700,676547,ybeQ,-,676547.0,675570.0,-,-,0.7142857142857143,0.18181818181818182,0.31690140845070425,0.5949367088607594
554,676706,676706,676547,ybeQ,-,676547.0,675570.0,-,-,0.8333333333333334,0.2,0.3310344827586207,0.5950920245398773
555,679416,679416,679406,ybeT,-,679406.0,678852.0,-,-,1.0,0.75,0.38028169014084506,0.7142857142857143
556,679462,679508,679462,ybeU,+,680215.0,679508.0,+,+,0.5,0.6666666666666666,0.22330097087378642,0.22911694510739858
557,679465,679508,679465,ybeU,+,680215.0,679508.0,+,+,0.5,0.7272727272727273,0.23645320197044334,0.2397094430992736
558,683482,683482,683393,hscC,-,683393.0,681723.0,-,-,11.6,13.1,1.9351351351351351,1.9908256880733946
559,683594,683594,683393,hscC,-,683393.0,681723.0,-,-,9.4,11.304347826086957,1.5674157303370786,1.5099502487562189
560,684602,684602,684412,rihA,-,684412.0,683477.0,-,-,0.6178861788617886,0.45209580838323354,1.1566523605150214,0.8207440811724915
561,687896,687896,687747,gltI,-,687747.0,686839.0,-,-,1.4067796610169492,0.6619718309859155,1.017751479289941,1.2940226171243943
565,690984,690984,690881,lnt,-,690881.0,689343.0,-,-,5.096938775510204,4.874186550976138,1.9544658493870404,2.811529933481153
566,693469,693469,693417,ybeZ,-,693378.0,692338.0,-,-,0.7171171171171171,0.6304654442877292,0.44421699078812693,0.8192771084337349
567,697163,697163,697133,metT,-,697133.0,697057.0,-,-,1.1305884332753688,0.8945579501736824,0.4055084341942247,0.7307007786429366
568,699222,699222,699177,asnB,-,699177.0,697513.0,-,-,0.7950819672131147,0.5683453237410072,0.8,0.7964071856287425
570,701865,701865,701594,nagC,-,701594.0,700374.0,-,-,0.7114197530864198,0.7579250720461095,0.5836298932384342,0.7014492753623188
571,702008,702008,701594,nagC,-,701594.0,700374.0,-,-,0.12681912681912683,0.1864406779661017,0.11616161616161616,0.2525597269624573
572,703175,703175,702751,nagA,-,702751.0,701603.0,-,-,1.3421052631578947,1.650735294117647,1.3857142857142857,1.3233082706766917
573,703708,703708,703611,nagB,-,703611.0,702811.0,-,-,0.4334470989761092,0.30807453416149067,0.3107344632768362,0.5205047318611987
574,703840,703944,703840,nagE,+,705890.0,703944.0,+,+,3.4074074074074074,2.8106060606060606,1.1020408163265305,2.089108910891089
575,705999,706093,705999,glnS,+,707757.0,706093.0,+,+,2.1668765743073046,3.3078271028037385,1.1025,1.8412698412698412
576,706060,706093,706060,glnS,+,707757.0,706093.0,+,+,3.1354300385109113,4.693726937269373,2.08160621761658,2.806896551724138
577,708236,708334,708236,chiP,+,709740.0,708334.0,+,+,0.3333333333333333,0.2076923076923077,0.5458515283842795,0.32608695652173914
578,710716,710716,710646,fur,-,710646.0,710200.0,-,-,0.8473307833028438,0.9183150183150183,0.749058541595344,0.9190031152647975
579,710716,710716,710646,fur,-,710646.0,710200.0,-,-,0.8473307833028438,0.9183150183150183,0.749058541595344,0.9190031152647975
580,710723,710723,710646,fur,-,710646.0,710200.0,-,-,0.8735713029716898,0.9375611665688002,0.7279569892473118,0.9353012535382127
581,710723,710723,710646,fur,-,710646.0,710200.0,-,-,0.8735713029716898,0.9375611665688002,0.7279569892473118,0.9353012535382127
582,710829,710829,710725,uof,-,710725.0,710639.0,-,-,0.640424867228991,0.797145003756574,0.5033967391304348,0.6869788325849904
583,710829,710829,710725,uof,-,710725.0,710639.0,-,-,0.640424867228991,0.797145003756574,0.5033967391304348,0.6869788325849904
584,711521,711521,711465,fldA,-,711465.0,710935.0,-,-,1.6152380952380951,3.4642670839853937,1.3556187766714083,1.6538152610441768
585,711521,711521,711465,fldA,-,711465.0,710935.0,-,-,1.6152380952380951,3.4642670839853937,1.3556187766714083,1.6538152610441768
586,711939,711939,711898,ybfE,-,711898.0,711605.0,-,-,2.2176403207331044,1.504704875962361,0.9810938555030385,1.6481970096745822
587,712846,712846,712802,ybfF,-,712802.0,712038.0,-,-,1.9058823529411764,2.816326530612245,0.8947368421052632,2.2033898305084745
588,712942,712987,712942,seqA,+,713532.0,712987.0,+,+,1.473186119873817,1.5228122662677637,1.1345029239766082,1.187888198757764
590,718344,718344,718265,potE,-,718265.0,716946.0,-,-,0.2,0.42857142857142855,1.082191780821918,1.2
591,721894,721894,721733,kdpE,-,721733.0,721056.0,-,-,0.3181818181818182,0.30666666666666664,0.8809523809523809,1.0119047619047619
592,728849,728849,728821,kdpF,-,728821.0,728732.0,-,-,1.0,1.25,0.8421052631578947,0.7391304347826086
593,729037,729134,729037,ybfA,+,729340.0,729134.0,+,+,4.238095238095238,1.5849056603773586,1.3888888888888888,2.238095238095238
594,729082,729134,729082,ybfA,+,729340.0,729134.0,+,+,10.727272727272727,7.875,3.35,3.7857142857142856
595,729379,729583,729379,rhsC,+,733776.0,729583.0,+,+,0.7333333333333333,0.5151515151515151,0.4583333333333333,0.5087719298245614
596,738920,739001,738920,ybgA,+,739510.0,739001.0,+,+,0.6363636363636364,5.0,0.8111888111888111,1.1837606837606838
597,738980,739001,738980,ybgA,+,739510.0,739001.0,+,+,1.0,7.625,0.927007299270073,1.6719576719576719
598,739421,739507,739421,phr,+,740925.0,739507.0,+,+,2.375,2.1578947368421053,0.7706422018348624,0.5497630331753555
599,742619,742827,742619,ybgI,+,743570.0,742827.0,+,+,0.13,0.2074468085106383,0.20833333333333334,0.544973544973545
600,742622,742622,742556,dtpD,-,742556.0,741075.0,-,-,1.3846153846153846,1.5263157894736843,0.3,0.7070063694267515
601,742623,742623,742556,dtpD,-,742556.0,741075.0,-,-,1.3846153846153846,1.6111111111111112,0.2909090909090909,0.7096774193548387
602,742670,742670,742556,dtpD,-,742556.0,741075.0,-,-,2.3636363636363638,2.0476190476190474,0.27884615384615385,0.7114093959731543
603,742798,742827,742798,ybgI,+,743570.0,742827.0,+,+,2.185185185185185,0.8737864077669902,0.6274509803921569,1.60431654676259
604,749182,749182,748982,ybgO,-,748982.0,747921.0,-,-,1.0,1.875,1.4507042253521127,1.0256410256410255
605,749185,749185,748982,ybgO,-,748982.0,747921.0,-,-,1.0,1.875,1.3835616438356164,1.036649214659686
606,752958,752958,752795,ybgD,-,752795.0,752229.0,-,-,3.5,5.5,0.2839506172839506,0.4744186046511628
607,754670,754670,754468,gltA,-,754468.0,753185.0,-,-,0.945273631840796,0.7794117647058824,0.5714285714285714,0.8255959849435383
608,754767,754767,754468,gltA,-,754468.0,753185.0,-,-,0.47692307692307695,0.287598944591029,0.15702479338842976,0.2560553633217993
609,754958,755177,754958,sdhC,+,755566.0,755177.0,+,+,0.6829745596868885,0.34350282485875705,0.4218009478672986,0.5623100303951368
610,755404,755560,755404,sdhD,+,755907.0,755560.0,+,+,0.9859550561797753,1.108153078202995,0.7404580152671756,1.0041237113402062
611,758586,758706,758586,sucA,+,761507.0,758706.0,+,+,0.4178537511870845,0.35558946966806565,0.29191616766467066,0.3361620585819874
612,758586,758706,758586,sucA,+,761507.0,758706.0,+,+,0.4178537511870845,0.35558946966806565,0.29191616766467066,0.3361620585819874
613,765811,765984,765811,mngA,+,767960.0,765984.0,+,+,31.0,25.5,0.975,0.8163265306122449
614,765926,765926,765875,mngR,-,765875.0,765153.0,-,-,0.5974025974025974,0.8235294117647058,0.4426229508196721,0.5245098039215687
